	Index	Density	Clustering	Category
0	0.0	0.48484848484848486	0.5009920634920636	4
1	1.0	0.6	0.8	4
2	2.0	0.6666666666666666	0.6666666666666666	5
3	3.0	0.09090909090909091	0.0	1
4	4.0	0.5333333333333333	0.6055555555555555	4
5	5.0	0.7132352941176471	0.7054536966301673	5
6	6.0	0.08947368421052632	0.0	1
7	7.0	0.3888888888888889	0.3407407407407408	3
8	8.0	0.5272727272727272	0.44199134199134205	4
9	9.0	0.6	0.61991341991342	4
10	10.0	0.045454545454545456	0.0	1
11	11.0	0.06666666666666667	0.0	1
12	12.0	0.17857142857142858	0.0	2
13	13.0	0.6013071895424836	0.5783044116377449	5
14	14.0	0.8021978021978022	0.8211685140256569	5
15	15.0	0.28888888888888886	0.45	3
16	16.0	0.07575757575757576	0.0	1
17	17.0	0.6923076923076923	0.7257520257520258	5
18	18.0	0.21212121212121213	0.0	2
19	19.0	0.06666666666666667	0.0	1
20	20.0	0.08974358974358974	0.0	1
21	21.0	0.5686274509803921	0.5944851444851444	4
22	22.0	0.6	0.6303174603174603	4
23	23.0	0.17142857142857143	0.1111111111111111	2
24	24.0	0.3235294117647059	0.4913165266106443	3
25	25.0	0.2222222222222222	0.12155388471177944	2
26	26.0	0.07142857142857142	0.0	1
27	27.0	0.7	0.7	5
28	28.0	0.6111111111111112	0.655026455026455	5
29	29.0	0.6176470588235294	0.5956540191834309	5
30	30.0	0.7307692307692307	0.7016483516483517	5
31	31.0	0.7352941176470589	0.7383296442119971	5
32	32.0	0.3333333333333333	0.27777777777777773	3
33	33.0	0.2	0.0	2
34	34.0	0.09523809523809523	0.0	1
35	35.0	0.6071428571428571	0.5083333333333334	5
36	36.0	0.4090909090909091	0.3746031746031746	4
37	37.0	0.48366013071895425	0.4623416706750041	4
38	38.0	0.05454545454545454	0.0	1
39	39.0	0.42857142857142855	0.4877551020408163	4
40	40.0	0.2222222222222222	0.38333333333333336	2
41	41.0	0.3055555555555556	0.15925925925925927	3
42	42.0	0.008333333333333333	0.0	1
43	43.0	0.5	0.0	4
44	44.0	0.22727272727272727	0.1111111111111111	3
45	45.0	0.25757575757575757	0.32499999999999996	3
46	46.0	0.0	0.0	1
47	47.0	0.5294117647058824	0.5293438587556234	4
48	48.0	0.17777777777777778	0.0	2
49	49.0	0.22727272727272727	0.3055555555555555	3
50	50.0	0.041666666666666664	0.0	1
51	51.0	0.26666666666666666	0.0	3
52	52.0	0.8666666666666667	0.8222222222222221	5
53	53.0	0.2087912087912088	0.08571428571428572	2
54	54.0	0.0661764705882353	0.0	1
55	55.0	0.026143790849673203	0.0	1
56	56.0	0.5454545454545454	0.4943722943722944	4
57	57.0	0.09473684210526316	0.06666666666666667	1
58	58.0	0.19047619047619047	0.0	2
59	59.0	0.26666666666666666	0.0	3
60	60.0	0.3	0.0	3
61	61.0	0.10256410256410256	0.1794871794871795	2
62	62.0	0.03636363636363636	0.0	1
63	63.0	0.47619047619047616	0.5476190476190476	4
64	64.0	0.8571428571428571	0.8333333333333334	5
65	65.0	0.45263157894736844	0.4429653679653679	4
66	66.0	0.11764705882352941	0.09259259259259259	2
67	67.0	0.5555555555555556	0.4703703703703704	4
68	68.0	0.13333333333333333	0.0	2
69	69.0	0.1830065359477124	0.15185185185185185	2
70	70.0	0.8095238095238095	0.8666666666666666	5
71	71.0	0.14102564102564102	0.0	2
72	72.0	0.6923076923076923	0.7132811632811633	5
73	73.0	0.783625730994152	0.792271505584199	5
74	74.0	0.6	0.6	4
75	75.0	0.5714285714285714	0.5012169312169312	4
76	76.0	0.2647058823529412	0.11120448179271707	3
77	77.0	0.3333333333333333	0.38888888888888884	3
78	78.0	0.23809523809523808	0.0	3
79	79.0	0.1	0.0	2
80	80.0	0.8571428571428571	0.8410714285714285	5
81	81.0	0.40522875816993464	0.486648228314895	3
82	82.0	0.0	0.0	1
83	83.0	0.14285714285714285	0.0	2
84	84.0	0.0	0.0	1
85	85.0	0.32967032967032966	0.3988095238095238	3
86	86.0	0.6	0.7942857142857143	4
87	87.0	0.4666666666666667	0.5728571428571428	4
88	88.0	0.4093567251461988	0.389515455304929	4
89	89.0	0.03571428571428571	0.0	1
90	90.0	0.38333333333333336	0.47951388888888885	3
91	91.0	0.2	0.0	2
92	92.0	0.8083333333333333	0.7967518592518593	5
93	93.0	0.21637426900584794	0.2754385964912281	2
94	94.0	0.31666666666666665	0.3661706349206349	3
95	95.0	0.2	0.0	2
96	96.0	0.14285714285714285	0.10476190476190475	2
97	97.0	0.29411764705882354	0.3343915343915344	3
98	98.0	0.1111111111111111	0.0	2
99	99.0	0.46405228758169936	0.45858585858585854	4
